* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:34:59 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: L1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.162 34.3328
0.368865 35.179 34.3277
0.371538 35.197 34.3223
0.374230 35.216 34.3166
0.376942 35.236 34.3108
0.379673 35.257 34.3047
0.382424 35.279 34.2985
0.385196 35.301 34.2920
0.387987 35.325 34.2854
0.390798 35.349 34.2786
0.393630 35.374 34.2716
0.396483 35.400 34.2645
0.399356 35.427 34.2573
0.402250 35.454 34.2500
0.405165 35.482 34.2425
0.408101 35.510 34.2349
0.411058 35.539 34.2273
0.414037 35.569 34.2195
0.417037 35.600 34.2117
0.420059 35.630 34.2038
0.423103 35.662 34.1958
0.426169 35.694 34.1877
0.429257 35.726 34.1796
0.432368 35.759 34.1713
0.435501 35.792 34.1630
0.438656 35.826 34.1545
0.441835 35.860 34.1460
0.445037 35.894 34.1373
0.448262 35.929 34.1284
0.451510 35.964 34.1195
0.454782 35.999 34.1103
0.458077 36.035 34.1010
0.461397 36.071 34.0915
0.464740 36.108 34.0817
0.468108 36.145 34.0718
0.471500 36.182 34.0615
0.474917 36.219 34.0510
0.478358 36.257 34.0401
0.481825 36.295 34.0289
0.485316 36.333 34.0173
0.488833 36.372 34.0054
0.492375 36.411 33.9930
0.495943 36.450 33.9801
0.499537 36.490 33.9668
0.503157 36.530 33.9530
0.506803 36.570 33.9386
0.510475 36.610 33.9236
0.514175 36.651 33.9080
0.517900 36.692 33.8917
0.521653 36.733 33.8747
0.525434 36.775 33.8570
0.529241 36.817 33.8386
0.533076 36.859 33.8193
0.536939 36.902 33.7992
0.540830 36.945 33.7781
0.544749 36.988 33.7562
0.548696 37.031 33.7332
0.552673 37.075 33.7093
0.556677 37.119 33.6842
0.560711 37.163 33.6581
0.564774 37.208 33.6308
0.568867 37.253 33.6023
0.572989 37.298 33.5725
0.577141 37.343 33.5414
0.581324 37.389 33.5090
0.585536 37.435 33.4752
0.589779 37.481 33.4399
0.594053 37.527 33.4031
