* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:57:18 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: LO
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.657 -85.5005
0.368865 33.673 -85.6261
0.371538 33.690 -85.7595
0.374230 33.707 -85.9008
0.376942 33.726 -86.0502
0.379673 33.745 -86.2077
0.382424 33.765 -86.3734
0.385196 33.786 -86.5472
0.387987 33.808 -86.7292
0.390798 33.830 -86.9193
0.393630 33.854 -87.1174
0.396483 33.877 -87.3235
0.399356 33.902 -87.5374
0.402250 33.927 -87.7592
0.405165 33.953 -87.9885
0.408101 33.980 -88.2254
0.411058 34.007 -88.4697
0.414037 34.034 -88.7213
0.417037 34.063 -88.9799
0.420059 34.091 -89.2455
0.423103 34.120 -89.5178
0.426169 34.150 -89.7968
0.429257 34.180 -90.0823
0.432368 34.210 -90.3741
0.435501 34.241 -90.6721
0.438656 34.272 -90.9761
0.441835 34.304 -91.2859
0.445037 34.336 -91.6015
0.448262 34.368 -91.9227
0.451510 34.401 -92.2493
0.454782 34.434 -92.5811
0.458077 34.467 -92.9182
0.461397 34.500 -93.2602
0.464740 34.534 -93.6070
0.468108 34.568 -93.9586
0.471500 34.603 -94.3148
0.474917 34.638 -94.6753
0.478358 34.673 -95.0402
0.481825 34.708 -95.4093
0.485316 34.744 -95.7824
0.488833 34.779 -96.1594
0.492375 34.816 -96.5401
0.495943 34.852 -96.9245
0.499537 34.889 -97.3124
0.503157 34.926 -97.7037
0.506803 34.963 -98.0982
0.510475 35.001 -98.4958
0.514175 35.039 -98.8963
0.517900 35.077 -99.2998
0.521653 35.115 -99.7059
0.525434 35.154 -100.1147
0.529241 35.193 -100.5259
0.533076 35.232 -100.9395
0.536939 35.271 -101.3554
0.540830 35.311 -101.7734
0.544749 35.351 -102.1934
0.548696 35.391 -102.6154
0.552673 35.432 -103.0391
0.556677 35.473 -103.4646
0.560711 35.514 -103.8917
0.564774 35.555 -104.3204
0.568867 35.596 -104.7505
0.572989 35.638 -105.1820
0.577141 35.680 -105.6147
0.581324 35.722 -106.0488
0.585536 35.765 -106.4840
0.589779 35.807 -106.9203
0.594053 35.850 -107.3578
0.598358 35.893 -107.7963
0.602694 35.936 -108.2359
0.607061 35.979 -108.6764
0.611460 36.023 -109.1180
0.615891 36.066 -109.5607
0.620354 36.110 -110.0043
0.624849 36.153 -110.4490
0.629377 36.197 -110.8948
0.633938 36.241 -111.3418
0.638532 36.285 -111.7900
0.643159 36.328 -112.2394
0.647819 36.372 -112.6902
0.652514 36.415 -113.1424
0.657242 36.459 -113.5962
0.662005 36.502 -114.0516
0.666802 36.545 -114.5088
0.671634 36.588 -114.9679
0.676501 36.631 -115.4291
0.681403 36.673 -115.8925
0.686341 36.715 -116.3582
0.691314 36.757 -116.8265
0.696324 36.798 -117.2974
0.701370 36.839 -117.7712
0.706452 36.880 -118.2480
0.711571 36.920 -118.7280
0.716728 36.959 -119.2113
0.721921 36.998 -119.6981
0.727153 37.037 -120.1887
0.732422 37.075 -120.6830
0.737729 37.112 -121.1813
0.743075 37.149 -121.6838
0.748460 37.185 -122.1904
0.753883 37.221 -122.7013
0.759346 37.256 -123.2167
0.764849 37.291 -123.7365
0.770391 37.325 -124.2610
0.775974 37.358 -124.7899
0.781597 37.390 -125.3236
0.787261 37.422 -125.8618
0.792966 37.454 -126.4047
0.798712 37.485 -126.9521
0.804500 37.515 -127.5042
0.810329 37.545 -128.0607
0.816201 37.574 -128.6217
0.822116 37.602 -129.1870
0.828073 37.630 -129.7566
0.834074 37.658 -130.3305
0.840118 37.685 -130.9084
0.846206 37.711 -131.4902
0.852338 37.737 -132.0759
0.858514 37.762 -132.6654
0.864735 37.787 -133.2585
0.871001 37.812 -133.8550
0.877313 37.835 -134.4550
0.883670 37.859 -135.0582
0.890074 37.882 -135.6646
0.896524 37.904 -136.2741
0.903020 37.926 -136.8866
0.909564 37.947 -137.5019
0.916155 37.968 -138.1202
0.922794 37.989 -138.7413
0.929481 38.009 -139.3652
0.936216 38.028 -139.9918
0.943000 38.047 -140.6213
0.949834 38.066 -141.2536
0.956717 38.084 -141.8888
0.963649 38.102 -142.5270
0.970632 38.119 -143.1683
0.977666 38.136 -143.8128
0.984750 38.152 -144.4607
0.991886 38.168 -145.1121
0.999074 38.183 -145.7674
1.006314 38.198 -146.4267
1.013606 38.212 -147.0902
1.020951 38.226 -147.7584
1.028349 38.239 -148.4315
1.035801 38.252 -149.1098
1.043307 38.264 -149.7938
1.050867 38.276 -150.4838
1.058482 38.287 -151.1802
1.066152 38.298 -151.8835
1.073878 38.308 -152.5940
1.081660 38.318 -153.3123
1.089498 38.327 -154.0387
1.097393 38.335 -154.7738
1.105345 38.343 -155.5179
1.113355 38.350 -156.2715
1.121423 38.357 -157.0351
1.129549 38.363 -157.8090
1.137734 38.368 -158.5937
1.145979 38.373 -159.3895
1.154283 38.378 -160.1968
1.162647 38.382 -161.0160
1.171072 38.385 -161.8473
1.179558 38.387 -162.6911
1.188106 38.389 -163.5475
1.196715 38.391 -164.4169
1.205387 38.392 -165.2993
1.214122 38.393 -166.1950
1.222920 38.393 -167.1040
1.231782 38.392 -168.0265
1.240708 38.392 -168.9626
1.249699 38.390 -169.9123
1.258754 38.389 -170.8756
1.267876 38.387 -171.8526
1.277063 38.385 -172.8432
1.286318 38.382 -173.8474
1.295639 38.379 -174.8653
1.305027 38.376 -175.8968
1.314484 38.373 -176.9420
1.324009 38.370 -178.0007
1.333604 38.367 -179.0731
1.343268 38.363 179.8409
1.353002 38.360 178.7411
1.362806 38.357 177.6276
1.372681 38.353 176.5001
1.382628 38.350 175.3586
1.392647 38.347 174.2029
1.402739 38.344 173.0328
1.412904 38.341 171.8480
1.423142 38.339 170.6483
1.433455 38.336 169.4333
1.443843 38.335 168.2029
1.454305 38.333 166.9566
1.464844 38.332 165.6940
1.475459 38.331 164.4148
1.486150 38.331 163.1185
1.496920 38.331 161.8049
1.507767 38.332 160.4734
1.518693 38.334 159.1237
1.529698 38.336 157.7554
1.540783 38.339 156.3682
1.551948 38.342 154.9617
1.563194 38.347 153.5356
1.574521 38.352 152.0897
1.585931 38.358 150.6235
1.597423 38.366 149.1371
1.608999 38.374 147.6301
1.620658 38.384 146.1025
1.632402 38.395 144.5541
1.644232 38.408 142.9849
1.656146 38.422 141.3948
1.668147 38.437 139.7840
1.680235 38.455 138.1524
1.692411 38.474 136.5002
1.704675 38.495 134.8275
1.717028 38.519 133.1346
1.729470 38.544 131.4217
1.742003 38.572 129.6891
1.754626 38.603 127.9373
1.767341 38.636 126.1668
1.780147 38.672 124.3779
1.793047 38.711 122.5714
1.806040 38.752 120.7480
1.819128 38.797 118.9085
1.832310 38.844 117.0537
1.845587 38.895 115.1846
1.858961 38.949 113.3024
1.872432 39.006 111.4082
1.886001 39.066 109.5034
1.899667 39.130 107.5892
1.913433 39.196 105.6673
1.927299 39.266 103.7391
1.941265 39.339 101.8062
1.955332 39.415 99.8704
1.969501 39.494 97.9333
1.983773 39.576 95.9965
1.998148 39.661 94.0619
2.012627 39.749 92.1311
2.027212 39.839 90.2057
2.041902 39.932 88.2873
2.056698 40.027 86.3774
2.071602 40.125 84.4775
2.086614 40.225 82.5889
2.101734 40.327 80.7130
2.116964 40.431 78.8506
2.132304 40.537 77.0031
2.147756 40.645 75.1713
2.163320 40.754 73.3560
2.178996 40.865 71.5580
2.194786 40.977 69.7780
2.210690 41.091 68.0164
2.226710 41.206 66.2737
2.242845 41.322 64.5504
2.259098 41.439 62.8467
2.275468 41.556 61.1630
2.291957 41.675 59.4993
2.308566 41.793 57.8560
2.325295 41.913 56.2329
2.342145 42.032 54.6302
2.359117 42.152 53.0479
2.376212 42.273 51.4859
2.393431 42.393 49.9442
2.410775 42.513 48.4225
2.428244 42.633 46.9207
2.445840 42.752 45.4387
2.463564 42.872 43.9762
2.481416 42.991 42.5330
2.499397 43.109 41.1087
2.517509 43.227 39.7031
2.535752 43.345 38.3159
2.554127 43.461 36.9467
2.572635 43.577 35.5954
2.591277 43.693 34.2614
2.610055 43.807 32.9445
2.628968 43.920 31.6443
2.648019 44.033 30.3606
2.667208 44.144 29.0929
2.686535 44.255 27.8411
2.706003 44.364 26.6046
2.725612 44.472 25.3834
2.745363 44.580 24.1770
2.765257 44.686 22.9852
2.785295 44.790 21.8077
2.805478 44.894 20.6442
2.825808 44.996 19.4945
2.846285 45.097 18.3582
2.866910 45.196 17.2351
2.887685 45.295 16.1250
2.908611 45.391 15.0276
2.929688 45.487 13.9427
2.950917 45.581 12.8700
2.972301 45.673 11.8092
2.993839 45.764 10.7602
3.015534 45.854 9.7227
3.037386 45.942 8.6965
3.059396 46.029 7.6813
3.081565 46.114 6.6771
3.103896 46.197 5.6835
3.126388 46.279 4.7004
3.149043 46.359 3.7277
3.171862 46.438 2.7650
3.194847 46.514 1.8124
3.217998 46.590 0.8695
3.241317 46.663 -0.0637
3.264805 46.735 -0.9874
3.288463 46.805 -1.9019
3.312293 46.874 -2.8069
3.336295 46.941 -3.7029
3.360471 47.005 -4.5900
3.384822 47.068 -5.4680
3.409350 47.130 -6.3373
3.434056 47.189 -7.1979
3.458940 47.247 -8.0497
3.484005 47.302 -8.8931
3.509252 47.356 -9.7278
3.534681 47.408 -10.5540
3.560295 47.458 -11.3718
3.586094 47.505 -12.1810
3.612081 47.551 -12.9818
3.638255 47.595 -13.7740
3.664620 47.636 -14.5577
3.691175 47.676 -15.3329
3.717923 47.713 -16.0994
3.744864 47.748 -16.8571
3.772001 47.781 -17.6060
3.799335 47.811 -18.3459
3.826866 47.840 -19.0767
3.854597 47.866 -19.7981
3.882529 47.889 -20.5101
3.910664 47.910 -21.2122
3.939002 47.929 -21.9044
3.967546 47.945 -22.5862
3.996296 47.958 -23.2573
4.025255 47.969 -23.9175
4.054423 47.977 -24.5662
4.083804 47.983 -25.2029
4.113396 47.986 -25.8273
4.143204 47.986 -26.4386
4.173227 47.983 -27.0364
4.203468 47.977 -27.6200
4.233928 47.969 -28.1885
4.264609 47.957 -28.7413
4.295512 47.943 -29.2776
4.326639 47.926 -29.7963
4.357992 47.905 -30.2964
4.389572 47.882 -30.7770
4.421380 47.855 -31.2368
4.453419 47.826 -31.6747
4.485691 47.793 -32.0892
4.518196 47.757 -32.4791
4.550936 47.719 -32.8428
4.583914 47.677 -33.1787
4.617131 47.633 -33.4851
4.650589 47.585 -33.7603
4.684289 47.535 -34.0024
4.718233 47.482 -34.2095
4.752424 47.427 -34.3794
4.786862 47.370 -34.5101
4.821549 47.310 -34.5995
4.856488 47.248 -34.6451
4.891680 47.184 -34.6450
4.927127 47.119 -34.5966
4.962831 47.053 -34.4978
4.998794 46.987 -34.3463
5.035017 46.920 -34.1399
5.071503 46.853 -33.8768
5.108253 46.787 -33.5549
5.145270 46.723 -33.1729
5.182555 46.660 -32.7293
5.220110 46.600 -32.2233
5.257937 46.544 -31.6545
5.296038 46.492 -31.0228
5.334415 46.444 -30.3292
5.373071 46.402 -29.5748
5.412006 46.367 -28.7619
5.451224 46.338 -27.8934
5.490725 46.318 -26.9729
5.530514 46.305 -26.0051
5.570590 46.302 -24.9954
5.610957 46.308 -23.9497
5.651616 46.323 -22.8749
5.692570 46.348 -21.7781
5.733821 46.382 -20.6670
5.775370 46.426 -19.5494
5.817221 46.479 -18.4331
5.859375 46.540 -17.3259
5.901834 46.609 -16.2350
5.944602 46.686 -15.1674
5.987679 46.769 -14.1289
6.031068 46.858 -13.1251
6.074771 46.952 -12.1605
6.118792 47.051 -11.2388
6.163131 47.153 -10.3627
6.207792 47.257 -9.5339
6.252776 47.364 -8.7534
6.298086 47.472 -8.0215
6.343725 47.581 -7.3374
6.389694 47.691 -6.7000
6.435996 47.800 -6.1074
6.482634 47.908 -5.5573
6.529610 48.016 -5.0468
