* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:41:41 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: R1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 25.864 -39.8906
0.368865 25.879 -40.0010
0.371538 25.896 -40.1180
0.374230 25.914 -40.2418
0.376942 25.932 -40.3723
0.379673 25.951 -40.5097
0.382424 25.971 -40.6539
0.385196 25.992 -40.8048
0.387987 26.014 -40.9625
0.390798 26.036 -41.1268
0.393630 26.059 -41.2977
0.396483 26.083 -41.4751
0.399356 26.108 -41.6588
0.402250 26.133 -41.8488
0.405165 26.159 -42.0450
0.408101 26.185 -42.2471
0.411058 26.212 -42.4551
0.414037 26.240 -42.6689
0.417037 26.268 -42.8882
0.420059 26.296 -43.1131
0.423103 26.325 -43.3432
0.426169 26.355 -43.5786
0.429257 26.385 -43.8191
0.432368 26.415 -44.0646
0.435501 26.446 -44.3149
0.438656 26.477 -44.5700
0.441835 26.509 -44.8297
0.445037 26.540 -45.0940
0.448262 26.573 -45.3627
0.451510 26.605 -45.6359
0.454782 26.638 -45.9133
0.458077 26.671 -46.1949
0.461397 26.705 -46.4807
0.464740 26.738 -46.7706
0.468108 26.773 -47.0645
0.471500 26.807 -47.3623
0.474917 26.842 -47.6640
0.478358 26.877 -47.9696
0.481825 26.912 -48.2790
0.485316 26.947 -48.5921
0.488833 26.983 -48.9090
0.492375 27.019 -49.2295
0.495943 27.056 -49.5537
0.499537 27.093 -49.8814
0.503157 27.130 -50.2127
0.506803 27.167 -50.5476
0.510475 27.204 -50.8859
0.514175 27.242 -51.2277
0.517900 27.280 -51.5730
0.521653 27.319 -51.9217
0.525434 27.357 -52.2739
0.529241 27.396 -52.6294
0.533076 27.436 -52.9884
0.536939 27.475 -53.3507
0.540830 27.515 -53.7164
0.544749 27.555 -54.0855
0.548696 27.596 -54.4579
0.552673 27.637 -54.8337
0.556677 27.678 -55.2129
0.560711 27.719 -55.5955
0.564774 27.761 -55.9814
0.568867 27.803 -56.3708
0.572989 27.846 -56.7636
0.577141 27.888 -57.1599
