* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:53:40 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RO
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 28.458 -88.5231
0.368865 28.485 -88.5855
0.371538 28.513 -88.6515
0.374230 28.542 -88.7211
0.376942 28.573 -88.7943
0.379673 28.605 -88.8711
0.382424 28.638 -88.9514
0.385196 28.673 -89.0353
0.387987 28.709 -89.1226
0.390798 28.746 -89.2133
0.393630 28.784 -89.3073
0.396483 28.824 -89.4044
0.399356 28.865 -89.5048
0.402250 28.906 -89.6081
0.405165 28.949 -89.7143
0.408101 28.992 -89.8234
0.411058 29.037 -89.9352
0.414037 29.082 -90.0496
0.417037 29.128 -90.1665
0.420059 29.175 -90.2859
0.423103 29.223 -90.4075
0.426169 29.271 -90.5314
0.429257 29.320 -90.6574
0.432368 29.370 -90.7855
0.435501 29.420 -90.9155
0.438656 29.471 -91.0474
0.441835 29.522 -91.1812
0.445037 29.574 -91.3167
0.448262 29.627 -91.4539
0.451510 29.680 -91.5927
0.454782 29.734 -91.7331
0.458077 29.788 -91.8750
0.461397 29.843 -92.0183
0.464740 29.898 -92.1631
0.468108 29.953 -92.3093
0.471500 30.009 -92.4568
0.474917 30.066 -92.6056
0.478358 30.123 -92.7556
0.481825 30.180 -92.9069
0.485316 30.238 -93.0594
0.488833 30.297 -93.2130
0.492375 30.355 -93.3678
0.495943 30.415 -93.5238
0.499537 30.474 -93.6808
0.503157 30.535 -93.8389
0.506803 30.595 -93.9980
0.510475 30.656 -94.1582
0.514175 30.718 -94.3195
0.517900 30.780 -94.4817
0.521653 30.842 -94.6449
0.525434 30.905 -94.8092
0.529241 30.968 -94.9744
0.533076 31.032 -95.1405
0.536939 31.096 -95.3077
0.540830 31.161 -95.4758
0.544749 31.226 -95.6449
0.548696 31.292 -95.8149
0.552673 31.358 -95.9859
0.556677 31.424 -96.1578
0.560711 31.491 -96.3308
0.564774 31.558 -96.5046
0.568867 31.626 -96.6795
0.572989 31.694 -96.8554
0.577141 31.762 -97.0322
0.581324 31.831 -97.2100
0.585536 31.900 -97.3889
0.589779 31.969 -97.5688
0.594053 32.039 -97.7497
0.598358 32.109 -97.9317
0.602694 32.180 -98.1148
0.607061 32.251 -98.2990
0.611460 32.322 -98.4843
0.615891 32.393 -98.6708
0.620354 32.464 -98.8584
0.624849 32.536 -99.0472
0.629377 32.608 -99.2373
0.633938 32.680 -99.4286
0.638532 32.752 -99.6211
0.643159 32.824 -99.8150
0.647819 32.896 -100.0102
0.652514 32.968 -100.2067
0.657242 33.040 -100.4047
0.662005 33.112 -100.6040
0.666802 33.185 -100.8048
0.671634 33.256 -101.0071
0.676501 33.328 -101.2108
0.681403 33.400 -101.4161
0.686341 33.471 -101.6228
0.691314 33.542 -101.8312
0.696324 33.613 -102.0411
0.701370 33.684 -102.2526
0.706452 33.754 -102.4657
0.711571 33.824 -102.6804
0.716728 33.893 -102.8967
0.721921 33.962 -103.1146
0.727153 34.031 -103.3342
0.732422 34.099 -103.5554
0.737729 34.167 -103.7782
0.743075 34.234 -104.0026
0.748460 34.301 -104.2287
0.753883 34.368 -104.4563
0.759346 34.434 -104.6855
0.764849 34.499 -104.9163
0.770391 34.564 -105.1486
0.775974 34.629 -105.3824
0.781597 34.693 -105.6178
0.787261 34.757 -105.8546
0.792966 34.821 -106.0929
0.798712 34.884 -106.3327
0.804500 34.946 -106.5739
0.810329 35.009 -106.8165
0.816201 35.071 -107.0605
0.822116 35.132 -107.3058
0.828073 35.193 -107.5525
0.834074 35.254 -107.8006
0.840118 35.315 -108.0500
0.846206 35.375 -108.3007
0.852338 35.435 -108.5527
0.858514 35.495 -108.8061
0.864735 35.554 -109.0607
0.871001 35.613 -109.3167
0.877313 35.672 -109.5740
0.883670 35.731 -109.8327
0.890074 35.789 -110.0927
0.896524 35.847 -110.3541
0.903020 35.906 -110.6169
0.909564 35.963 -110.8811
0.916155 36.021 -111.1468
0.922794 36.078 -111.4140
0.929481 36.136 -111.6828
0.936216 36.193 -111.9531
0.943000 36.250 -112.2251
0.949834 36.307 -112.4989
0.956717 36.363 -112.7743
0.963649 36.420 -113.0517
0.970632 36.476 -113.3309
0.977666 36.532 -113.6121
0.984750 36.588 -113.8953
0.991886 36.644 -114.1807
0.999074 36.700 -114.4683
1.006314 36.756 -114.7581
1.013606 36.811 -115.0504
1.020951 36.866 -115.3451
1.028349 36.922 -115.6424
1.035801 36.977 -115.9423
1.043307 37.031 -116.2450
1.050867 37.086 -116.5504
1.058482 37.141 -116.8588
1.066152 37.195 -117.1701
1.073878 37.249 -117.4845
1.081660 37.303 -117.8020
1.089498 37.357 -118.1227
1.097393 37.410 -118.4467
1.105345 37.463 -118.7740
1.113355 37.517 -119.1047
1.121423 37.569 -119.4388
1.129549 37.622 -119.7763
1.137734 37.674 -120.1173
1.145979 37.726 -120.4618
1.154283 37.778 -120.8099
1.162647 37.829 -121.1614
1.171072 37.880 -121.5165
1.179558 37.931 -121.8751
1.188106 37.981 -122.2373
1.196715 38.031 -122.6029
1.205387 38.081 -122.9720
1.214122 38.130 -123.3446
1.222920 38.179 -123.7206
1.231782 38.228 -124.1000
1.240708 38.276 -124.4828
1.249699 38.323 -124.8689
1.258754 38.371 -125.2583
1.267876 38.418 -125.6509
1.277063 38.464 -126.0468
1.286318 38.510 -126.4459
1.295639 38.556 -126.8482
1.305027 38.601 -127.2537
1.314484 38.645 -127.6623
1.324009 38.690 -128.0741
1.333604 38.733 -128.4889
1.343268 38.776 -128.9070
1.353002 38.819 -129.3281
1.362806 38.861 -129.7524
1.372681 38.903 -130.1799
1.382628 38.944 -130.6105
1.392647 38.984 -131.0444
1.402739 39.024 -131.4816
1.412904 39.063 -131.9220
1.423142 39.102 -132.3658
1.433455 39.140 -132.8130
1.443843 39.178 -133.2636
1.454305 39.214 -133.7176
1.464844 39.251 -134.1753
1.475459 39.286 -134.6364
1.486150 39.321 -135.1013
1.496920 39.355 -135.5698
1.507767 39.388 -136.0420
1.518693 39.421 -136.5181
1.529698 39.453 -136.9979
1.540783 39.484 -137.4817
1.551948 39.514 -137.9693
1.563194 39.544 -138.4609
1.574521 39.573 -138.9565
1.585931 39.601 -139.4561
1.597423 39.628 -139.9598
1.608999 39.654 -140.4677
1.620658 39.679 -140.9796
1.632402 39.703 -141.4958
1.644232 39.726 -142.0162
1.656146 39.749 -142.5410
1.668147 39.770 -143.0701
1.680235 39.790 -143.6036
1.692411 39.809 -144.1416
1.704675 39.828 -144.6842
1.717028 39.845 -145.2315
1.729470 39.861 -145.7835
1.742003 39.876 -146.3403
1.754626 39.889 -146.9020
1.767341 39.902 -147.4687
1.780147 39.913 -148.0406
1.793047 39.923 -148.6177
1.806040 39.932 -149.2000
1.819128 39.940 -149.7878
1.832310 39.946 -150.3810
1.845587 39.951 -150.9798
1.858961 39.954 -151.5842
1.872432 39.956 -152.1944
1.886001 39.957 -152.8102
1.899667 39.956 -153.4319
1.913433 39.954 -154.0594
1.927299 39.950 -154.6927
1.941265 39.945 -155.3318
1.955332 39.938 -155.9769
1.969501 39.929 -156.6277
1.983773 39.919 -157.2844
1.998148 39.907 -157.9468
2.012627 39.893 -158.6151
2.027212 39.878 -159.2890
2.041902 39.860 -159.9686
2.056698 39.841 -160.6539
2.071602 39.820 -161.3448
2.086614 39.797 -162.0413
2.101734 39.772 -162.7433
2.116964 39.745 -163.4508
2.132304 39.716 -164.1639
2.147756 39.685 -164.8824
2.163320 39.651 -165.6064
2.178996 39.616 -166.3359
2.194786 39.578 -167.0708
2.210690 39.538 -167.8112
2.226710 39.495 -168.5570
2.242845 39.450 -169.3082
2.259098 39.403 -170.0648
2.275468 39.353 -170.8268
2.291957 39.301 -171.5941
2.308566 39.246 -172.3667
2.325295 39.188 -173.1446
2.342145 39.128 -173.9276
2.359117 39.065 -174.7157
2.376212 38.999 -175.5089
2.393431 38.930 -176.3070
2.410775 38.858 -177.1099
2.428244 38.783 -177.9176
2.445840 38.705 -178.7298
2.463564 38.623 -179.5466
2.481416 38.539 179.6323
2.499397 38.451 178.8070
2.517509 38.360 177.9776
2.535752 38.265 177.1443
2.554127 38.167 176.3071
2.572635 38.065 175.4664
2.591277 37.959 174.6223
2.610055 37.849 173.7748
2.628968 37.736 172.9244
2.648019 37.619 172.0712
2.667208 37.497 171.2154
2.686535 37.372 170.3574
2.706003 37.242 169.4974
2.725612 37.108 168.6359
2.745363 36.969 167.7733
2.765257 36.826 166.9100
2.785295 36.678 166.0466
2.805478 36.525 165.1837
2.825808 36.368 164.3220
2.846285 36.206 163.4622
2.866910 36.038 162.6053
2.887685 35.866 161.7522
2.908611 35.689 160.9040
2.929688 35.507 160.0621
2.950917 35.319 159.2280
2.972301 35.127 158.4034
2.993839 34.929 157.5903
3.015534 34.727 156.7912
3.037386 34.519 156.0087
3.059396 34.307 155.2463
3.081565 34.090 154.5079
3.103896 33.868 153.7983
3.126388 33.642 153.1236
3.149043 33.413 152.4908
3.171862 33.179 151.9091
3.194847 32.943 151.3900
3.217998 32.704 150.9481
3.241317 32.463 150.6025
3.264805 32.221 150.3785
3.288463 31.979 150.3105
3.312293 31.738 150.4457
3.336295 31.498 150.8516
3.360471 31.262 151.6271
3.384822 31.031 152.9222
3.409350 30.806 154.9745
3.434056 30.590 158.1755
3.458940 30.384 163.1976
3.484005 30.191 171.2102
3.509252 30.012 -175.9330
3.534681 29.849 -156.6085
3.560295 29.704 -133.4133
3.586094 29.579 -113.5618
3.612081 29.475 -100.1983
3.638255 29.392 -91.8623
3.664620 29.330 -86.6513
3.691175 29.290 -83.3408
3.717923 29.270 -81.2253
3.744864 29.269 -79.8948
3.772001 29.286 -79.1014
3.799335 29.319 -78.6885
3.826866 29.366 -78.5530
3.854597 29.426 -78.6244
3.882529 29.496 -78.8528
3.910664 29.575 -79.2019
3.939002 29.663 -79.6442
3.967546 29.757 -80.1584
3.996296 29.857 -80.7275
4.025255 29.962 -81.3374
4.054423 30.072 -81.9759
4.083804 30.188 -82.6323
4.113396 30.308 -83.2964
4.143204 30.435 -83.9583
4.173227 30.567 -84.6078
4.203468 30.707 -85.2339
4.233928 30.854 -85.8245
4.264609 31.010 -86.3651
4.295512 31.176 -86.8382
4.326639 31.351 -87.2220
4.357992 31.538 -87.4879
4.389572 31.735 -87.5980
4.421380 31.945 -87.4996
4.453419 32.166 -87.1175
4.485691 32.398 -86.3400
4.518196 32.642 -84.9942
4.550936 32.896 -82.7996
4.583914 33.160 -79.2783
4.617131 33.433 -73.5766
4.650589 33.714 -64.1546
4.684289 34.002 -48.6204
4.718233 34.296 -25.8112
4.752424 34.594 -1.4480
4.786862 34.897 16.6115
4.821549 35.202 27.7899
4.856488 35.509 34.5343
4.891680 35.818 38.6865
4.927127 36.127 41.2879
4.962831 36.435 42.9156
4.998794 36.743 43.9024
5.035017 37.050 44.4504
5.071503 37.355 44.6876
5.108253 37.658 44.6994
5.145270 37.959 44.5443
5.182555 38.258 44.2641
5.220110 38.554 43.8892
5.257937 38.848 43.4425
5.296038 39.138 42.9417
5.334415 39.426 42.4007
5.373071 39.712 41.8303
5.412006 39.994 41.2397
5.451224 40.274 40.6362
5.490725 40.552 40.0260
5.530514 40.827 39.4143
5.570590 41.100 38.8057
5.610957 41.372 38.2038
5.651616 41.641 37.6120
5.692570 41.908 37.0332
5.733821 42.174 36.4697
5.775370 42.438 35.9235
5.817221 42.701 35.3965
5.859375 42.963 34.8899
5.901834 43.224 34.4048
5.944602 43.484 33.9419
5.987679 43.743 33.5018
6.031068 44.002 33.0844
6.074771 44.260 32.6896
6.118792 44.517 32.3168
6.163131 44.773 31.9653
6.207792 45.029 31.6340
6.252776 45.284 31.3213
6.298086 45.538 31.0257
6.343725 45.791 30.7450
6.389694 46.043 30.4772
